procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 276M  820M    31   0   0   0     0   30   0   0 1639 15610  4291 81 19  0
1 0 0 276M  820M   183   0   0   0   158   30   0   0 1459 13539  3504 77 23  0
1 0 0 276M  819M    30   0   0   0     2   30   0   0 1776 15726  4954 77 23  0
1 0 0 276M  819M   444   0   0   0   412   30   1   0 1793 16957  4882 80 20  0
1 0 0 276M  819M    30   0   0   0     8   33   1   0 1612 15236  4040 80 20  0
1 0 0 276M  819M   445   0   0   0   412   30   0   0 1829 17467  4806 79 21  0
1 0 0 276M  819M    34   0   0   0     0   30   0   0 1759 16578  4761 80 20  0
1 0 0 277M  819M   191   0   0   0   159   30   0   0 1933 16286  5117 79 21  0
1 0 0 277M  819M    32   0   0   0     0   30   0   0 1639 16208  4213 76 24  0
1 0 0 277M  819M   451   0   0   0   418   30   0   0 1822 16902  4732 80 20  0
1 0 0 277M  818M    31   0   0   0     0   30   0   0 1800 16189  4678 73 27  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 277M  818M   364   0   0   0   331   33   0   0 1655 16828  4416 73 27  0
1 0 0 277M  818M    31   0   0   0     0   30   0   0 1799 16310  4611 73 27  0
